recordedOn,power,bladeAngle,airPressure,airTemp,cloudLevel,bladeLength,bladeWidth,height,windSpeed,status,windDirection,month
18/04/2020 20:33,1.88670981,1.273889674,112871.331,36.51727434,Medium,2.241199164,0.451256544,26.86086882,3.782233161,Good,NE,April
24/05/2020 00:03,12.9469176,-1.284503509,652071.8985,27.50879942,Low,4.769259865,0.36483494,26.77905969,6.151815626,Good,SW,May
18/08/2020 22:03,33.22758776,-0.220828682,126944.705,39.41156116,Low,3.08632463,0.38181406,41.40521299,8.417216233,Good,NW,August
05/08/2020 11:23,9.42552442,-0.994495446,114561.6165,22.34728221,Medium,3.139549505,0.454212242,22.30282028,6.035172017,Good,NW,August
25/05/2020 11:03,4.42796433,0.256350031,115082.2118,19.33783649,Low,4.776126073,0.380700407,27.38621978,4.8095498,Good,SW,May
20/06/2020 11:53,72.71056563,35.27456117,109392.0174,20.89458924,Low,2.576588005,0.425083914,25.62320346,3.1085367,Good,SW,June
06/04/2020 22:43,9.25371839,-1.117895112,117017.3243,23.06305634,Low,6.097349289,0.44074177,25.34003753,5.4534262,Good,SW,April
08/07/2020 21:33,31.19716101,4.725622136,127909.4687,35.06574906,Low,3.51616788,0.336106831,22.8367925,9.053184395,Good,SW,July
29/01/2020 20:33,29.88591116,15.71356643,423042.8506,29.45501741,Medium,8.15241103,0.372591513,27.73696377,13.98838272,Good,SE,January
16/01/2020 06:13,33.08288414,-1.040857249,126315.5388,26.29456446,Medium,4.778680073,0.381161795,26.19664965,8.555105938,Good,SE,January
04/04/2020 04:23,3.19349053,0.682627342,116065.9933,29.80120578,Medium,3.307539216,0.311593111,26.3073855,4.186694537,Good,SE,April
13/07/2020 01:03,13.04636299,-1.141560257,119545.9736,30.03190102,Medium,3.374032191,0.488727752,26.15094536,6.550699855,Good,NW,July
19/04/2020 04:13,69.43736632,2.006931802,83337.84241,31.4930843,Low,4.838125355,0.365129588,27.16883287,3.035773537,Optimised,NW,April
01/02/2020 23:53,39.24627205,12.26220524,400858.1697,42.21726898,Medium,4.302816409,0.313086881,25.87083227,13.23466938,Good,SE,February
14/06/2020 02:33,6.13296381,-0.937924664,287115.3399,25.81908748,Low,4.421633433,0.380835946,25.06954169,5.522899826,Good,NW,June
02/08/2020 09:03,5.83102213,-0.690121423,115214.6492,25.99273021,Low,4.627744574,0.377654898,26.46934843,4.93184985,Good,NW,August
15/06/2020 08:33,0.36408938,1.788749331,277449.4697,23.39252512,Low,2.617954947,0.372957517,15.87178803,3.561499844,Good,NW,June
14/02/2020 18:13,27.80137472,-1.095758836,82715.88434,37.73908932,Low,3.886328562,0.44820377,16.18854983,5.8020148,Optimised,NE,February
11/06/2020 16:43,1.35616315,1.587546937,111044.3638,24.07803912,Medium,4.490688365,0.470039132,24.63887411,3.545227606,Good,SW,June
08/06/2020 11:03,1.67354095,1.411547889,111570.2707,27.71530176,Medium,7.501019052,0.352744413,24.54541038,3.859431421,Good,SW,June
26/04/2020 19:33,5.79313703,-0.581772517,117424.4371,32.37723952,Medium,3.452795496,0.456294575,24.89604126,4.777436658,Good,SW,April
16/06/2020 00:33,12.49258929,-1.149388457,121500.7831,24.17736797,Medium,5.267770972,0.303222594,18.45963001,6.630852347,Good,NW,June
22/06/2020 03:53,14.52125307,-1.172187156,116266.0128,22.3723054,Medium,2.587955811,0.364277652,24.73622372,6.750149811,Good,NW,June
14/08/2020 02:43,29.98049873,0.77745257,128478.2599,33.47752985,Medium,2.284921821,0.392324799,25.74298753,8.48665956,Good,NW,August
01/07/2020 20:23,17.38294288,-1.164579365,116170.6863,26.29126424,Low,2.481420983,0.486151143,27.96016249,7.238566439,Good,SW,July
05/12/2019 13:33,56.52058456,0.83806186,81426.33667,35.00069239,Medium,2.16689091,0.322065966,25.08406574,8.159914445,Optimised,SE,December
12/07/2020 06:53,9.15908842,-1.109248651,113343.4491,23.90234332,Medium,9.923012227,0.304333082,12.69260702,5.60565991,Good,NW,July
23/07/2020 10:23,0.07505553,31.73872128,115266.075,29.96843192,Medium,4.676721407,0.321565974,27.7772265,2.99242488,Good,NE,July
11/06/2020 23:23,12.1188235,-1.142191068,289946.9762,24.77614343,Low,2.690093296,0.479401824,21.57504052,6.054010961,Good,SW,June
14/06/2020 08:43,3.72968909,-0.08008541,115416.1519,24.65287368,Low,3.076484695,0.325166211,27.89119239,4.988163032,Good,SW,June
12/07/2020 12:53,15.70543007,-1.034226682,114116.3057,24.43878697,Medium,3.388109664,0.358674908,25.63466547,6.292699815,Good,NW,July
09/02/2020 16:43,0.76332231,12.59185073,113615.8498,28.13556637,Medium,2.340490064,0.329695378,20.56852362,3.76259488,Good,SE,February
30/06/2020 04:43,9.19854432,-1.125724803,117417.1616,20.35862874,Medium,4.143347038,0.46596745,24.39730144,6.22285485,Good,SW,June
09/06/2020 05:43,0.15980412,1.679371338,115397.213,22.51881934,Low,2.587167613,0.493394579,25.22168245,3.634966517,Good,SW,June
06/03/2020 02:33,34.68804129,7.076374116,142228.7171,37.38779872,Medium,4.679658711,0.475141833,27.84106428,10.15956425,Good,SE,March
07/08/2020 02:43,13.43849066,-71.84351138,117406.8379,26.42805541,Medium,3.447586659,0.471893845,30.41992268,6.573315563,Good,SW,August
22/05/2020 08:03,3.29227411,0.356451707,114334.3868,28.38931737,Medium,9.266098328,0.31358377,20.25648581,4.431238656,Good,SW,May
04/07/2020 20:23,19.81268016,-1.235099108,117508.9649,27.61635834,Medium,3.122217568,0.482362986,11.30881449,7.478174695,Good,SW,July
08/05/2020 08:23,0.11792248,34.98442231,458975.2678,24.99303054,Low,2.180909566,0.42604001,27.88677416,2.680578805,Good,SE,May
17/04/2020 09:53,0.10504618,45.2330202,176565.4413,25.20015707,Medium,3.266796766,0.375794929,25.07788076,2.738490818,Good,NE,April
13/05/2020 02:53,4.20831807,-0.515165398,387973.5151,26.01007482,Medium,4.366042606,0.425504762,26.45611781,5.100336684,Good,NW,May
19/08/2020 02:13,6.38126871,-0.738290408,493582.131,32.75659335,Medium,3.366008385,0.338649162,17.56429221,5.1085054,Good,NW,August
25/05/2020 15:03,11.62593463,-0.989363477,121193.6468,22.34040552,Low,3.771957143,0.455270787,27.83716199,5.712874855,Good,SW,May
11/06/2020 05:23,0.12476533,40.40834745,562968.5755,21.27626303,Low,3.752224522,0.38671875,24.93864198,3.142422072,Good,NW,June
